id,cluster,title
req-heuristic-0140,0,REVSIDS-QBF: Recency-Enhanced VSIDS with Queue-Based Feedback
req-heuristic-0141,4,Phase-Aware Conflict Impact (PACI) Heuristic
req-heuristic-0142,4,RECAPS: Recency-Enhanced Conflict and Activity Priority Scoring
req-heuristic-0143,2,Phase-Adaptive Temporal Activity (PATA) Heuristic
req-heuristic-0144,5,Adaptive Conflict-Phase Scoring (ACPS)
req-heuristic-0145,1,PHASED-IMPACT HYBRID (PIH) Branching Heuristic
req-heuristic-0146,4,STAGE: Stability- and Timestamp-Adjusted Guided Exploration
req-heuristic-0147,1,RECHARGE: Recency-Enhanced Conflict History Adaptively Ranked Guided Exploration
req-heuristic-0148,6,Phase-Aware Activity Timestamping (PAT) Heuristic
req-heuristic-0149,4,Phase-Aware Hybrid Recency-Activity (PHRA) Heuristic
req-heuristic-0150,1,Recency-Weighted EVSIDS (RW-EVSIDS) Heuristic
req-heuristic-0151,2,Phase-Aware Adaptive Recency Scoring (PAARS)
req-heuristic-0152,4,EVSIDS-Freshness Hybrid (EFH) Heuristic
req-heuristic-0153,1,Dual-Phase Activity Timestamp (DPAT)
req-heuristic-0154,4,Phase-Weighted Queue-EVSIDS (PWQE) Heuristic
req-heuristic-0155,0,Phase-Integrated Recent Activity Scoring (PIRAS)
req-heuristic-0156,0,Phase-Aware Conflict History Scoring (PACHS)
req-heuristic-0157,0,Reinforced Phase-Aware EVSIDS (RPEVSIDS)
req-heuristic-0158,6,RECENT-IMPACT SCORE (RIS): Recency-Weighted EVSIDS for Adaptive Branching
req-heuristic-0159,1,RVSIDS-MT: Recency- and Variability-Weighted Scoring with Immediate Decision Support
req-heuristic-0160,1,Adaptive Activity-Recency Hybrid (AARH) Heuristic
req-heuristic-0161,4,PHASE-ACT: Phase-Guided Activity and Recency Heuristic
req-heuristic-0162,4,Phase-Adaptive Queue-Weighted Activity (PAQWA)
req-heuristic-0163,1,RECAPS – Recent Conflict Adaptive Phase-Weighted Scoring
req-heuristic-0164,1,Phase-Aware Timestamp-EVSIDS Hybrid (PAT-EVSIDS)
req-heuristic-0165,4,DASHSAT: Decay-Adaptive Scoring with Hybrid Stability for SAT
req-heuristic-0166,1,STABLE-BUMP Hybrid Activity Heuristic (SBAH)
req-heuristic-0167,1,FASB: Frequency-Adapted Stability Branching
req-heuristic-0168,6,Phase-Aware Conflict-Centrality (PACC) Heuristic
req-heuristic-0169,1,RECENT-C (Recency-Enhanced Conflict Contribution Heuristic)
req-heuristic-0170,1,RECENT-IMPACT EVSIDS (RIE): Recency-Weighted Conflict-Driven Branching
req-heuristic-0171,0,PHAB: Phase-aware Hybrid Activity & Bump Heuristic
req-heuristic-0172,4,Phase-Guided Recent Activity Scoring (PGRAS)
req-heuristic-0173,4,EVSIDS-Timestamp Hybrid (ETH) Heuristic
req-heuristic-0174,1,EVSIDS-Recency Hybrid (ERH): Activity-Recency Combined Branching
req-heuristic-0175,1,Phase-Aware Conflict History Branching (PACHB)
req-heuristic-0176,4,E2VSIDS-MTF: Exponential EVSIDS with Move-To-Front Recency Boost
req-heuristic-0177,2,Phase-Aware Activity Timestamping (PAAT) Heuristic
req-heuristic-0178,4,RECAPS: Recency-Enhanced Conflict Activity Priority Selection
req-heuristic-0179,4,Phase-Aware Hybrid EVSIDS/Recency (PHAER) Heuristic
req-heuristic-0180,5,STAMP-CHB: Stable Timestamp-Activity Mean Priority with Conflict History Blending
req-heuristic-0181,0,Phase-Aware Conflict-Temporal Scoring (PACT)
req-heuristic-0182,4,FAST-BALANCE (Frequency-Adapted Stable Timestamp Branching)
req-heuristic-0183,2,Stability-Aware Recent Impact (SARI) Branching Heuristic
req-heuristic-0184,0,Phase-Aware Timestamped Activity Selection (PATAS)
req-heuristic-0185,4,EVSIDS-MTF Hybrid Branching (EMH)
req-heuristic-0186,1,S2BVS: Stable-Stage Biased Variable Selection
req-heuristic-0187,1,EV-SMTF: Exponential VSIDS with Scaled Move-To-Front
req-heuristic-0188,0,Phase-Aware Recency-Weighted EVSIDS (PARWE)
req-heuristic-0189,6,Phase-Aware Timestamped Hybrid Activity (PATHA) Heuristic
req-heuristic-0190,4,Phase-Aware Hybrid Activity Queue (PHAQ)
req-heuristic-0191,6,RECAPS: Recency-Enhanced Conflict Activity and Phase Stabilized Branching
req-heuristic-0192,1,RECAPS: Recency-Enhanced Conflict Activity Priority Selection
req-heuristic-0193,1,SAW+Q: Stability-Aware Weighted Queue Heuristic
req-heuristic-0194,4,RELEVANCE-BOUNDED DYNAMIC PHASE-AWARE BRANCHING (RBDPAB)
req-heuristic-0195,3,Evict-Most-Conflicted-Target (EMCT) Heuristic
req-heuristic-0196,4,RAVS: Recency-Adjusted Variable Scoring
req-heuristic-0197,1,DASH: Dynamic Activity and Staleness Hybrid
req-heuristic-0198,4,SCORE-Q: Queue-Augmented EVSIDS Branching
req-heuristic-0199,1,REVSQUID: Recency-Enhanced Variable Scoring with Quick Unstable/Stable Integration and Dynamic Tie-breaking
req-heuristic-0200,4,STRIDE: Stochastic Timestamp-Ranked Integrated Dynamic EVSIDS
req-heuristic-0201,1,DASH: Dynamic Activity-Stability Hybrid
req-heuristic-0202,6,EVSIDS-Stability Hybrid with Conflict Recency Boost (ESCRB)
req-heuristic-0203,4,"DASH: Dynamic Activity, Stability, and History Heuristic"
req-heuristic-0204,3,RECENT-CONFLICT PHASE-AWARE EVSIDS (RC-PAE)
req-heuristic-0205,0,REACTIVSIDS: Recency-and-Activity-Integrated VSIDS
req-heuristic-0206,6,Dual-Phase Conflict-Temporal Scoring (DPCTS)
req-heuristic-0207,4,MIRA – Move-to-Front Informed Relevance Activity Heuristic
req-heuristic-0208,1,Phase-Guided Temporal EVSIDS (PGT-EVSIDS)
req-heuristic-0209,6,Phase-Aware Dynamic Activity Queue (PADAQ) Heuristic
req-heuristic-0210,4,RECHARGE-VSIDS: Recency- and Conflict-Heightened Activity Guided Decision
req-heuristic-0211,4,EVRMS: Exponential VSIDS with Recency-Move-to-Front Scoring
req-heuristic-0212,1,Phase-Aware Temporal EVSIDS (PATEVSIDS) Heuristic
req-heuristic-0213,0,Dual-Phase Adaptive Timestamped Activity (DATSA) Heuristic
req-heuristic-0214,4,RECAP: Recency-Enhanced Conflict Activity Priority
req-heuristic-0215,4,Phase-Aware Conflict-Temporal Activity (PACT) Heuristic
req-heuristic-0216,1,DYNASCORE: Dynamic Activity and Recency-Weighted Branching
req-heuristic-0217,1,STAGE: Stable-Timestamped Adaptive Global Exploration
req-heuristic-0218,0,"DASH: Dynamic Activity, Staleness, and History Heuristic"
req-heuristic-0219,4,DYNAMIC PHASE-BUFFERED CONFLICT-AGE (DPBCA) Heuristic
req-heuristic-0220,4,Dual-Phase Activity Recency Heuristic (DPARH)
req-heuristic-0221,1,Phase-Aware Time-Weighted EVSIDS (PATWE)
req-heuristic-0222,4,EVSIDS-QBF: Queue-Weighted EVSIDS Branching
req-heuristic-0223,2,EVSIDS-Recency Hybrid (ERH) Heuristic
req-heuristic-0224,1,RECAPS: Recency-Enhanced Conflict Activity Priority Scoring
req-heuristic-0225,3,Phase-Aware Conflict-Temporal Scoring (PACT)
req-heuristic-0226,0,Phase-Aware Conflict History Branching (PACHB)
req-heuristic-0227,3,DYNASCORE: Dynamic Activity and Recency Weighted Branching
req-heuristic-0228,1,Dynamic Phase-Aware Recency-Weighted EVSIDS (DyPhase-RWEVSIDS)
req-heuristic-0229,4,STRIDE: Stability-Triggered Recency-Impact Decaying Evaluation
req-heuristic-0230,6,DYNAMIC PHASE-ADAPTIVE SCORE FUSION (DyPAS-F)
req-heuristic-0231,4,RECAPS — Recency- and EVSIDS-Combined Adaptive Phase Scoring
req-heuristic-0232,2,Phase-Aware Conflict History Branching (PACHB)
req-heuristic-0233,0,RECAPS: REcent CAuse and Phase Synergy Heuristic
req-heuristic-0234,4,EVSIDS-Recency Hybrid (ERH) Branching Heuristic
req-heuristic-0235,4,RECAPS: Recency and EVSIDS Combined Adaptive Phase-Scoring
req-heuristic-0236,5,SCORE-MIX: Conflict-Phase Hybrid Branching Heuristic
req-heuristic-0237,3,Stability-Adaptive Timestamped EVSIDS (SATE)
req-heuristic-0238,4,Phase-Weighted Adaptive Recency Impact (PWARI)
req-heuristic-0239,1,STRIDE: Stable-Timestamped Reinforced Inference-Driven Exploration
req-heuristic-0240,0,EVSBUMP: Phase-aware EVSIDS-Recency Hybrid Branching
req-heuristic-0241,3,Phase-Aware Conflict-Temporal Scoring (PACT)
req-heuristic-0242,5,Phase-Aware Adaptive Recency-Impact Score (PARIS)
req-heuristic-0243,2,Phase-Aware Conflict History (PACH) Heuristic
req-heuristic-0244,6,EVSIDS-Recency-Phase (ERP) Branching
req-heuristic-0245,4,Phase-Adaptive EVSIDS with Recency Boost (PAERB)
req-heuristic-0246,4,Phase-Aware Dual Activity Selection (PADAS)
req-heuristic-0247,4,Phase-Aware Temporal Activity Scoring (PATAS)
req-heuristic-0248,5,Phase-Aware Adaptive Conflict Tracking (PACT)
req-heuristic-0249,1,Phase-Weighted Adaptive Queue Scoring (PAQS)
req-heuristic-0250,3,"""Conflict-Phase Adaptive Scoring (CPAS)"""
req-heuristic-0251,5,Reinforced Phase-Aware Conflict History (RePACH) Heuristic
req-heuristic-0252,3,Phase-Aware Conflict-Weighted Queue (PACQ)
req-heuristic-0253,1,Phase-Aware Timestamped EVSIDS (PAT-EVSIDS) Heuristic
req-heuristic-0254,2,EVSIDS-Recency Hybrid (ERH) Heuristic
req-heuristic-0255,6,SERA: Synergistic EVSIDS-Recency Adaptive Heuristic
req-heuristic-0256,1,RECAPS – Recency- and EVSIDS-Combined Adaptive Phase Scoring
req-heuristic-0257,0,PHASE-AWARE RECENT CONFLICT-FOCUSED EVSIDS (PARCE)
req-heuristic-0258,1,Phase-Aware Hybrid Activity and Recency (PHAReR) Heuristic
req-heuristic-0259,3,Dual-Phase Adaptive Conflict Score (DPACS)
req-heuristic-0260,4,EVSIDS-Recency Phase-Guided (ERPG) Heuristic
req-heuristic-0262,1,EVSIDS-Bump Hybrid with Recency Awareness (EBRA)
req-heuristic-0263,5,DynPhaseScore (Dynamic Phase-Weighted Activity Selection)
req-heuristic-0264,1,RECBRANCH: Recency-Enhanced Conflict Branching
req-heuristic-0265,6,RECENT-IMPACT EVSIDS (RIEVSIDS)
req-heuristic-0266,5,PHASED-EVSIDS/Recency Hybrid (PERCH) Heuristic
req-heuristic-0267,1,REACTIVS: Recency-Enhanced Adaptive Conflict-Tracking VSIDS
req-heuristic-0268,4,Phase-Aware Conflict-Time Weighted Activity (PACTWA)
req-heuristic-0269,1,EVSIDS-Recency Hybrid (ERH): Conflict-Active Recency Scoring
req-heuristic-0270,0,EVA-QS: Exponentially-Weighted Activity & Queue Synthesis
req-heuristic-0271,4,"""Phase-Aware Conflict History Score (PACHOS)"""
req-heuristic-0272,1,EVSIDS-Momentum Hybrid (EMH) Branching Heuristic
req-heuristic-0273,4,RECAPS: REcent Conflict-Activity Phase-Sensitive Branching
req-heuristic-0274,3,PHASE-AWARE DYNAMIC ACTIVITY BUMPING (PADAB)
req-heuristic-0275,0,Reinforced Adaptive Stability Heuristic (RASH)
req-heuristic-0276,3,RECENT-IMPACT HYBRID (RIH) Branching Heuristic
req-heuristic-0277,0,Stabilized Conflict-Phase Impact Search (SCOPIS)
req-heuristic-0278,0,EVSIDS-Recency Hybrid (ERH) Branching Heuristic
req-heuristic-0279,4,Stability-Aware Activity & Recency Heuristic (SARAH)
req-heuristic-0280,6,Phase-Aware Timestamped Activity Selection (PATAS)
req-heuristic-0281,4,RECENCY-BOOSTED ADAPTIVE EVSIDS (RBAE)
req-heuristic-0282,0,DynaPhase-Recency Variable Selection (DPRVS)
req-heuristic-0283,4,EVSIDS-Recency Hybrid (ERH): Conflict Activity–Recency Balanced Branching
req-heuristic-0284,6,Stability-Aware Timestamped Activity (SATA) Heuristic
req-heuristic-0285,4,STAMP: Stable-Adaptive Multi-Phase Branching
req-heuristic-0286,4,RECAPS – Recency-Enhanced Conflict Activity with Phase Stabilization
req-heuristic-0287,6,"REACTIVSIDS: Recency-Enhanced, Activity-Targeted VSIDS"
req-heuristic-0288,4,Recency-Aware Adaptive Activity (RAAA) Branching
req-heuristic-0289,0,Stabilized Conflict-Phase Impact Score (SCPIS)
req-heuristic-0290,4,PHASE-AWARE RECENCY SCALED IMPACT (PARSI) Heuristic
req-heuristic-0291,4,RECENT-IMPACT Weighted Activity Selection (RIWAS)
req-heuristic-0292,1,RECAPS: Recency- and EVSIDS-Combined Adaptive Phase-Sensitive Branching
req-heuristic-0293,4,EVSIDS-Recency Hybrid (ERH): Conflict-Driven Activity-Recency Branching
req-heuristic-0294,6,DRMA: Dual-Recency & Multiplicative Activity Heuristic
req-heuristic-0295,4,Stochastic Timestamped Activity Branching (STAB)
req-heuristic-0296,4,EVSIDS-BumpRecency Hybrid (EBRH): Adaptive Activity-Recency Branching
req-heuristic-0297,4,REVSIDS-MTF: Recency-Enhanced Variable State Independent Decaying Sum with Move-To-Front Boost
req-heuristic-0298,0,Phase-Aware Temporal Activity (PATA) Heuristic
req-heuristic-0299,1,DynaPhase Activity-Queue Heuristic (DPAQ)
req-heuristic-0300,1,EVCB: Exponentially-Weighted VSIDS with Conflict-Based Backboost
req-heuristic-0301,4,"DASH: Dynamic Activity, Stability, and History Branching"
req-heuristic-0302,4,REACTIVSIDS: Recency and Activity Integrated Variable Selection with Dynamic Scaling
req-heuristic-0303,3,EVSIDS-Recency Hybrid (ERH) Branching Heuristic
req-heuristic-0304,1,Phase-Aware Conflict Momentum (PACM) Heuristic
req-heuristic-0305,5,Phase-Aware Timestamped EVSIDS (PATE)
req-heuristic-0306,4,SCORE-MIX: Recency-Weighted EVSIDS Branching
req-heuristic-0307,4,Staged Adaptive Activity and Recency (STAAR) Branching
req-heuristic-0308,3,RECAPS – Recency-Enhanced Conflict Activity with Phase Sensitivity
req-heuristic-0309,4,EVSIDS-Recency Hybrid with Adaptive Phase (ERA-Phase) Heuristic
req-heuristic-0310,1,Hybrid Adaptive Recency-EVSIDS (HARE) Heuristic
req-heuristic-0311,1,EVSIDS-RECENCY Hybrid (ERH): Activity-Recency Adaptive Branching
req-heuristic-0312,4,Phase-Aware Conflict History Weighted Score (PACHWS)
req-heuristic-0313,2,EVSIDS-QBF: Queue-Boosted Activity with Adaptive Phase
req-heuristic-0314,1,RECENT-ACT: Recency-Weighted EVSIDS Branching
req-heuristic-0315,4,EVSIDS-MTF Hybrid with Adaptive Recency Scaling (EMARS)
req-heuristic-0316,3,RECAPS: Recency-Calibrated Activity Phase Scoring
req-heuristic-0317,1,Phase-Aware Conflict History (PACH) Branching
req-heuristic-0318,1,DYNAMIC PHASE-ACTIVITY QUEUE (DPAQ) Heuristic
req-heuristic-0319,4,EVSIDS-MTF Adaptive Branch (EMA-Branch)
req-heuristic-0320,3,STAGE: Stability-Aware Timestamp-Guided Activity with Global Exploration
req-heuristic-0321,3,Phase-Guided Timestamped Activity Selection (PGTAS)
req-heuristic-0322,1,EVSIDS-Phase Impact with Recency (EPIR) Heuristic
req-heuristic-0323,1,Phase-Adaptive Temporal Activity (PATA) Heuristic
req-heuristic-0324,3,STABLE-DYNAMIC PHASE-FOCUSED BRANCHING (SDPFB)
req-heuristic-0325,0,Phase-Aware Conflict & Recency Score (PACRS)
req-heuristic-0326,0,DSER (Dynamic Stability-Exploration Ranking) Heuristic
req-heuristic-0327,4,PHASE-DYN: Phase-Aware Dynamic Recency-Weighted Branching
req-heuristic-0328,4,EVSIDS-Recency Hybrid (ERH) Branching Heuristic
req-heuristic-0329,6,EVCB: Exponential-Variance Conflict Bumper
req-heuristic-0330,2,Phase-Aware Dual-Score Branching (PADSB)
req-heuristic-0331,0,PHASE-ADAPTIVE RECENCY-ACTIVITY (PARA) BRANCHING
req-heuristic-0332,1,REACTIVSIDS — Recency- and Activity-Integrated VSIDS
req-heuristic-0333,4,EVSIDS-Frontier Adaptive Branching (E-FAB)
req-heuristic-0334,6,Phase-Aware Temporal Activity (PATA) Branching Heuristic
req-heuristic-0335,0,Phase-Guided Dual-Activity (PGDA) Branching Heuristic
req-heuristic-0336,4,EVSIDS-Bump Hybrid with Recency-Aware Prioritization (EBRAP)
req-heuristic-0337,1,RISS — Recency-Impact Scaled Scoring Heuristic
